,model,k,mutations,kept,lost,diff_abs,diff_rel
392,CNN_onehot_pretrained,3,12,0.5948371887207031,0.3964426517486572,0.1983945369720459,0.33352746051188653
393,CNN_onehot_pretrained,3,13,0.5173489451408386,0.3280918896198273,0.1892570555210113,0.36582089767185977
394,CNN_onehot_pretrained,3,14,0.4648315906524658,0.23419591784477234,0.23063567280769348,0.49617039255864526
395,CNN_onehot_pretrained,3,15,0.3914299309253693,0.17311669886112213,0.2183132320642472,0.5577325973722513
396,CNN_onehot_pretrained,3,16,0.3154122531414032,0.11819346994161604,0.19721878319978714,0.6252730552968453
397,CNN_onehot_pretrained,3,17,0.2558799386024475,0.0851316750049591,0.1707482635974884,0.6672983608252874
398,CNN_onehot_pretrained,3,18,0.196546271443367,0.04826091974973679,0.14828535169363022,0.7544551753878337
399,CNN_onehot_pretrained,3,19,0.1492432802915573,0.0276784785091877,0.12156480178236961,0.8145412077842578
400,CNN_matrix,3,0,0.9424597024917604,0.9424597024917604,0.0,0.0
401,CNN_matrix,3,1,0.9377065896987916,0.9368688464164734,0.0008377432823182263,0.0008933959636429067
402,CNN_matrix,3,2,0.9274993538856506,0.9270283579826356,0.0004709959030150257,0.0005078126481078415
403,CNN_matrix,3,3,0.9142234325408936,0.907761573791504,0.006461858749389537,0.0070681394934607455
404,CNN_matrix,3,4,0.892065167427063,0.886256754398346,0.005808413028717041,0.00651119810615397
405,CNN_matrix,3,5,0.8693562150001526,0.850330650806427,0.019025564193725586,0.02188465886072055
406,CNN_matrix,3,6,0.8244606256484985,0.8051611185073853,0.01929950714111328,0.023408646260011268
407,CNN_matrix,3,7,0.7804498076438904,0.7509271502494812,0.02952265739440918,0.03782774639093767
408,CNN_matrix,3,8,0.7349850535392761,0.6850489377975464,0.049936115741729736,0.06794167514191662
409,CNN_matrix,3,9,0.6749677658081055,0.6210668683052063,0.05390089750289917,0.07985699500533372
410,CNN_matrix,3,10,0.6169882416725159,0.533111035823822,0.08387720584869385,0.1359461982959702
411,CNN_matrix,3,11,0.5667054057121277,0.4756897985935211,0.09101560711860657,0.16060479783889736
412,CNN_matrix,3,12,0.5118440985679626,0.3833177089691162,0.12852638959884644,0.25110456476579013
413,CNN_matrix,3,13,0.43921995162963867,0.32466498017311096,0.11455497145652771,0.2608145896640036
414,CNN_matrix,3,14,0.39656147360801697,0.2495006024837494,0.14706087112426758,0.3708400359376074
415,CNN_matrix,3,15,0.3458072543144226,0.1956622749567032,0.1501449793577194,0.43418689887055184
416,CNN_matrix,3,16,0.3043056428432465,0.14427022635936734,0.16003541648387917,0.5259035454900072
417,CNN_matrix,3,17,0.2540504038333893,0.10155893117189407,0.1524914726614952,0.600241016587802
418,CNN_matrix,3,18,0.22240757942199707,0.07243681699037552,0.14997076243162155,0.6743059873290846
419,CNN_matrix,3,19,0.1816237419843673,0.048461027443408966,0.13316271454095832,0.7331790055972963
420,CNN_matrix_pretrained,3,0,0.9931985139846802,0.9931985139846802,0.0,0.0
421,CNN_matrix_pretrained,3,1,0.9904396533966064,0.9841684699058532,0.006271183490753285,0.0063317168989013295
422,CNN_matrix_pretrained,3,2,0.9867664575576782,0.9396722316741944,0.047094225883483776,0.04772580738105503
423,CNN_matrix_pretrained,3,3,0.9848312139511108,0.8442614674568176,0.1405697464942932,0.1427348610634831
424,CNN_matrix_pretrained,3,4,0.9810659885406494,0.6907551884651184,0.290310800075531,0.29591363217817057
425,CNN_matrix_pretrained,3,5,0.9766598343849182,0.5258085131645203,0.45085132122039795,0.4616257425025936
426,CNN_matrix_pretrained,3,6,0.9695352911949158,0.3740985691547394,0.5954367220401764,0.6141465168393437
427,CNN_matrix_pretrained,3,7,0.9610356688499452,0.26884248852729803,0.6921931803226471,0.7202575333660433
428,CNN_matrix_pretrained,3,8,0.9583043456077576,0.16457343101501465,0.7937309145927429,0.8282660077987625
429,CNN_matrix_pretrained,3,9,0.953071355819702,0.10647352039813997,0.8465978354215621,0.8882837893007854
430,CNN_matrix_pretrained,3,10,0.939489722251892,0.06815680116415024,0.8713329210877417,0.9274533828845055
431,CNN_matrix_pretrained,3,11,0.936858296394348,0.04198263585567474,0.8948756605386733,0.9551878485601806
432,CNN_matrix_pretrained,3,12,0.9302234649658204,0.025052698329091072,0.9051707666367294,0.973068086032412
433,CNN_matrix_pretrained,3,13,0.9207740426063538,0.018847174942493442,0.9019268676638603,0.9795311617504503
434,CNN_matrix_pretrained,3,14,0.9150745272636414,0.011235968209803104,0.9038385590538383,0.9877212534334202
435,CNN_matrix_pretrained,3,15,0.912820041179657,0.008350552059710026,0.904469489119947,0.9908519185786955
436,CNN_matrix_pretrained,3,16,0.907515287399292,0.006659319624304771,0.9008559677749872,0.9926620303627185
437,CNN_matrix_pretrained,3,17,0.8993046283721924,0.004427562467753886,0.8948770659044385,0.9950766822186069
438,CNN_matrix_pretrained,3,18,0.8970895409584045,0.0034588526468724012,0.8936306883115321,0.9961443618624991
439,CNN_matrix_pretrained,3,19,0.8856105208396912,0.003777971025556326,0.8818325498141348,0.9957340490693649
