,model,k,mutations,kept,lost
75,CNN_matrix_pretrained,0,15,0.8229575753211975,0.0031842794269323353
76,CNN_matrix_pretrained,0,16,0.8118542432785034,0.0023973295465111732
77,CNN_matrix_pretrained,0,17,0.7976887822151184,0.003086327807977796
78,CNN_matrix_pretrained,0,18,0.7874612212181091,0.0018774913623929024
79,CNN_matrix_pretrained,0,19,0.7750771045684814,0.0014949318720027804
80,LSTM_onehot,0,0,0.9982849359512328,0.9982849359512328
81,LSTM_onehot,0,1,0.993977963924408,0.9944708943367004
82,LSTM_onehot,0,2,0.9866978526115416,0.9870281815528872
83,LSTM_onehot,0,3,0.9779467582702636,0.9709789752960204
84,LSTM_onehot,0,4,0.9542464017868042,0.9506112337112428
85,LSTM_onehot,0,5,0.9202731847763062,0.9245378375053406
86,LSTM_onehot,0,6,0.8840907216072083,0.8925697207450867
87,LSTM_onehot,0,7,0.847339928150177,0.8521474599838257
88,LSTM_onehot,0,8,0.8022860288619995,0.8019036650657654
89,LSTM_onehot,0,9,0.7456288933753967,0.7567266821861267
90,LSTM_onehot,0,10,0.6952891349792479,0.6958011388778687
91,LSTM_onehot,0,11,0.6164653301239014,0.6450355052947998
92,LSTM_onehot,0,12,0.5626516342163086,0.5833723545074463
93,LSTM_onehot,0,13,0.5034602880477905,0.5018627047538757
94,LSTM_onehot,0,14,0.4322169423103333,0.4368336796760559
95,LSTM_onehot,0,15,0.3709754943847656,0.3789951503276825
96,LSTM_onehot,0,16,0.3071169555187225,0.30582353472709656
97,LSTM_onehot,0,17,0.2617602348327637,0.25441834330558777
98,LSTM_onehot,0,18,0.2095465213060379,0.20442263782024386
99,LSTM_onehot,0,19,0.15968047082424164,0.14702126383781433
100,LSTM_onehot_pretrained,0,0,0.9780136346817015,0.9780136346817015
101,LSTM_onehot_pretrained,0,1,0.9654432535171508,0.9634751677513124
102,LSTM_onehot_pretrained,0,2,0.9500439763069152,0.938904345035553
103,LSTM_onehot_pretrained,0,3,0.9306289553642272,0.9040699005126952
104,LSTM_onehot_pretrained,0,4,0.9082115292549132,0.8633933663368225
105,LSTM_onehot_pretrained,0,5,0.8647281527519226,0.8014610409736633
106,LSTM_onehot_pretrained,0,6,0.8326485753059387,0.7452260851860046
107,LSTM_onehot_pretrained,0,7,0.7995238304138184,0.6702699065208435
108,LSTM_onehot_pretrained,0,8,0.7613601684570312,0.5770728588104248
109,LSTM_onehot_pretrained,0,9,0.7070297598838806,0.5076615810394287
110,LSTM_onehot_pretrained,0,10,0.6641732454299927,0.4122268557548523
111,LSTM_onehot_pretrained,0,11,0.6009247899055481,0.334314227104187
112,LSTM_onehot_pretrained,0,12,0.5557407736778259,0.2616734802722931
113,LSTM_onehot_pretrained,0,13,0.5048258304595947,0.18574568629264832
114,LSTM_onehot_pretrained,0,14,0.4447517693042755,0.13351690769195554
115,LSTM_onehot_pretrained,0,15,0.3989015221595764,0.0995320975780487
116,LSTM_onehot_pretrained,0,16,0.34587591886520386,0.06048094481229783
117,LSTM_onehot_pretrained,0,17,0.30032798647880554,0.03473477438092232
118,LSTM_onehot_pretrained,0,18,0.257948637008667,0.026632869616150856
119,LSTM_onehot_pretrained,0,19,0.21332553029060364,0.015309624373912813
120,CNN_onehot,1,0,0.991041660308838,0.991041660308838
121,CNN_onehot,1,1,0.9870014786720276,0.9876933693885804
122,CNN_onehot,1,2,0.9776133894920348,0.9789700508117676
123,CNN_onehot,1,3,0.96375173330307,0.965766191482544
