,model,k,mutations,kept,lost
112,CNN_onehot_pretrained,2,1,0.914226069287823,0.9056920551658408
113,CNN_onehot_pretrained,3,1,0.8650816391851589,0.8518522287168004
114,CNN_onehot_pretrained,4,1,0.9040443481758554,0.8935632685661739
115,CNN_onehot_pretrained,5,1,0.8493282149812422,0.835386126953771
116,CNN_onehot_pretrained,6,1,0.8854693399430136,0.8825706196366288
117,CNN_onehot_pretrained,7,1,0.946358009891524,0.9433178408835138
118,CNN_onehot_pretrained,8,1,0.9313025152399708,0.9236048158306412
119,CNN_onehot_pretrained,9,1,0.8627609797194937,0.8470881053067717
120,CNN_onehot_pretrained,0,2,0.9246295891714276,0.9064642038977018
121,CNN_onehot_pretrained,1,2,0.8877728780140243,0.8556986169416516
122,CNN_onehot_pretrained,2,2,0.9011204244920472,0.8759625179802671
123,CNN_onehot_pretrained,3,2,0.8430905641440384,0.8141955508025374
124,CNN_onehot_pretrained,4,2,0.8898219732224202,0.8716590382621116
125,CNN_onehot_pretrained,5,2,0.8255986055922762,0.8023235396964583
126,CNN_onehot_pretrained,6,2,0.8650974450360877,0.8502431946549787
127,CNN_onehot_pretrained,7,2,0.932604215790828,0.9116794035135379
128,CNN_onehot_pretrained,8,2,0.9166726287185084,0.8973994911281057
129,CNN_onehot_pretrained,9,2,0.84854472138568,0.8268666196592571
130,CNN_onehot_pretrained,0,3,0.9187598171677656,0.8847639382502615
131,CNN_onehot_pretrained,1,3,0.8658002121033648,0.8105634308533264
132,CNN_onehot_pretrained,2,3,0.8848774262104804,0.8435149572686059
133,CNN_onehot_pretrained,3,3,0.8316896245164659,0.7775145451697797
134,CNN_onehot_pretrained,4,3,0.8694313741465997,0.8440841088525444
135,CNN_onehot_pretrained,5,3,0.8054572278881729,0.7658809185296338
136,CNN_onehot_pretrained,6,3,0.8552744346015396,0.8256878433136439
137,CNN_onehot_pretrained,7,3,0.9172106035097686,0.8808143843860973
138,CNN_onehot_pretrained,8,3,0.9032749645746321,0.8780648087271684
139,CNN_onehot_pretrained,9,3,0.8332066562461188,0.7883775393082085
140,CNN_onehot_pretrained,0,4,0.8964263114767771,0.8465733305036836
141,CNN_onehot_pretrained,1,4,0.8484844261050097,0.7655828783463455
142,CNN_onehot_pretrained,2,4,0.8602033087587053,0.7900437793154301
143,CNN_onehot_pretrained,3,4,0.8188353805940543,0.7456462245215645
144,CNN_onehot_pretrained,4,4,0.8551613083354883,0.8048474573079947
145,CNN_onehot_pretrained,5,4,0.7993404397189066,0.7270481902734307
146,CNN_onehot_pretrained,6,4,0.8291572120761694,0.7743217401195286
147,CNN_onehot_pretrained,7,4,0.8962590931201572,0.8369483267638116
148,CNN_onehot_pretrained,8,4,0.8885920957017921,0.8397488031564059
149,CNN_onehot_pretrained,9,4,0.8173744570863034,0.7459279592283712
150,CNN_onehot_pretrained,0,5,0.8899455775398424,0.7979233974080042
151,CNN_onehot_pretrained,1,5,0.8385297766701144,0.7151541652459825
152,CNN_onehot_pretrained,2,5,0.8546886717579959,0.7754623170706679
153,CNN_onehot_pretrained,3,5,0.8008077362214537,0.6838077386222692
154,CNN_onehot_pretrained,4,5,0.8494488724532957,0.7661384291857408
155,CNN_onehot_pretrained,5,5,0.7899061710285206,0.6853862979668467
156,CNN_onehot_pretrained,6,5,0.8477613160576616,0.7608501731168762
157,CNN_onehot_pretrained,7,5,0.8848946977571092,0.7987076611595922
158,CNN_onehot_pretrained,8,5,0.8947683007416264,0.8081497085585552
159,CNN_onehot_pretrained,9,5,0.8400768796152931,0.7450599635320176
160,CNN_onehot_pretrained,0,6,0.8811104965234041,0.7674753836786815
161,CNN_onehot_pretrained,1,6,0.8458840759266933,0.6818352090431905
162,CNN_onehot_pretrained,2,6,0.8359750546159664,0.7112217101097353
163,CNN_onehot_pretrained,3,6,0.7954078138884569,0.6409218725744221
164,CNN_onehot_pretrained,4,6,0.8478220567712162,0.7555553208549037
165,CNN_onehot_pretrained,5,6,0.7748829479530873,0.6319441943054462
166,CNN_onehot_pretrained,6,6,0.8485101320791207,0.716532398249356
167,CNN_onehot_pretrained,7,6,0.8851113021442373,0.7540750375343487
168,CNN_onehot_pretrained,8,6,0.8717072369272258,0.7573600113306991
169,CNN_onehot_pretrained,9,6,0.826498032733895,0.7048101350737367
170,CNN_onehot_pretrained,0,7,0.8747794391183803,0.7241073766900393
171,CNN_onehot_pretrained,1,7,0.8346916323347437,0.6324847424789632
172,CNN_onehot_pretrained,2,7,0.8355143034764462,0.6537998379069484
173,CNN_onehot_pretrained,3,7,0.8001357284070254,0.6234144001069821
174,CNN_onehot_pretrained,4,7,0.8240882772695096,0.680372275825856
175,CNN_onehot_pretrained,5,7,0.7734919584502202,0.6111590734424662
176,CNN_onehot_pretrained,6,7,0.8451442294099722,0.6749144168003313
177,CNN_onehot_pretrained,7,7,0.8787091266146551,0.7112055365003956
178,CNN_onehot_pretrained,8,7,0.8554626544205045,0.7070056342645651
179,CNN_onehot_pretrained,9,7,0.8391895559290643,0.6692724130866817
180,CNN_onehot_pretrained,0,8,0.8903473096983335,0.6658468670178102
181,CNN_onehot_pretrained,1,8,0.8089231536840951,0.5547449663203831
182,CNN_onehot_pretrained,2,8,0.8293617000886931,0.6292888440735017
183,CNN_onehot_pretrained,3,8,0.7256759815972096,0.5280338324331173
184,CNN_onehot_pretrained,4,8,0.8016792714632912,0.6340122601776587
185,CNN_onehot_pretrained,5,8,0.7789563707951193,0.5869773478847466
186,CNN_onehot_pretrained,6,8,0.8371789257777942,0.6488252353033204
187,CNN_onehot_pretrained,7,8,0.8742914528656772,0.6724129740629421
188,CNN_onehot_pretrained,8,8,0.8405637488603437,0.6396748411145223
189,CNN_onehot_pretrained,9,8,0.8309827090487343,0.6545711037766128
190,CNN_onehot_pretrained,0,9,0.8669011876789917,0.5767492518948937
191,CNN_onehot_pretrained,1,9,0.7784173386780402,0.4901692085296441
192,CNN_onehot_pretrained,2,9,0.7867093860010766,0.5184305089096147
193,CNN_onehot_pretrained,3,9,0.6924284947340816,0.4956441605723941
194,CNN_onehot_pretrained,4,9,0.8004248201847076,0.6221068026411395
195,CNN_onehot_pretrained,5,9,0.7957824583051917,0.5854739241927372
196,CNN_onehot_pretrained,6,9,0.8027595162080252,0.5550001864262546
197,CNN_onehot_pretrained,7,9,0.8412176119173039,0.6006301449719967
198,CNN_onehot_pretrained,8,9,0.7700177696911851,0.5709509170525254
199,CNN_onehot_pretrained,9,9,0.7987735095807972,0.6128367532876631
200,CNN_matrix,0,0,0.9023279651438676,0.9023279651438676
201,CNN_matrix,1,0,0.9377079920710196,0.937707991893625
202,CNN_matrix,2,0,0.9460167763115582,0.9460167757271992
203,CNN_matrix,3,0,0.9384854837822226,0.9384854837822226
204,CNN_matrix,4,0,0.9494634154871938,0.9494634154871938
205,CNN_matrix,5,0,0.9278940131024802,0.9278940143982332
206,CNN_matrix,6,0,0.8512711341502845,0.8512711306252787
207,CNN_matrix,7,0,0.9257583018161554,0.9257582997062564
208,CNN_matrix,8,0,0.9125056264526916,0.9125056258506246
209,CNN_matrix,9,0,0.9096363536461824,0.9096363536461824
210,CNN_matrix,0,1,0.8898762583118399,0.8779543630151232
