,model,k,mutations,section
378,LSTM_onehot,7,stretch_left,0.9212418880544404
379,LSTM_onehot,7,stem_left,0.9289401909056226
380,LSTM_onehot,7,loop,0.9573559905531484
381,LSTM_onehot,7,stem_right,0.92172656792455
382,LSTM_onehot,7,strech_right,0.5019370089678621
383,LSTM_onehot,7,pad_right,0.9447011498091497
384,LSTM_onehot,8,base,0.9147203717089136
385,LSTM_onehot,8,pad_left,0.8852436522843461
386,LSTM_onehot,8,stretch_left,0.8656618318780755
387,LSTM_onehot,8,stem_left,0.8783764284283242
388,LSTM_onehot,8,loop,0.916086972399022
389,LSTM_onehot,8,stem_right,0.858433661946591
390,LSTM_onehot,8,strech_right,0.4100740015560346
391,LSTM_onehot,8,pad_right,0.9055690109764258
392,LSTM_onehot,9,base,0.8890679797977614
393,LSTM_onehot,9,pad_left,0.8775884888382912
394,LSTM_onehot,9,stretch_left,0.828708456185616
395,LSTM_onehot,9,stem_left,0.8534349047873284
396,LSTM_onehot,9,loop,0.8941342418672571
397,LSTM_onehot,9,stem_right,0.8369638216054148
398,LSTM_onehot,9,strech_right,0.4506153437021461
399,LSTM_onehot,9,pad_right,0.877735495135404
400,LSTM_onehot_pretrained,0,base,0.9313049591997621
401,LSTM_onehot_pretrained,0,pad_left,0.9190654224799579
402,LSTM_onehot_pretrained,0,stretch_left,0.9121676203160544
403,LSTM_onehot_pretrained,0,stem_left,0.8583345652065544
404,LSTM_onehot_pretrained,0,loop,0.9375374109033616
405,LSTM_onehot_pretrained,0,stem_right,0.8185630213651192
406,LSTM_onehot_pretrained,0,strech_right,0.6370753917495839
407,LSTM_onehot_pretrained,0,pad_right,0.9231792124896226
408,LSTM_onehot_pretrained,1,base,0.9182491296281418
409,LSTM_onehot_pretrained,1,pad_left,0.8947446612109031
410,LSTM_onehot_pretrained,1,stretch_left,0.8860744106716343
411,LSTM_onehot_pretrained,1,stem_left,0.790420351957991
412,LSTM_onehot_pretrained,1,loop,0.9185089254766584
413,LSTM_onehot_pretrained,1,stem_right,0.7531012351582167
414,LSTM_onehot_pretrained,1,strech_right,0.6105518543251592
415,LSTM_onehot_pretrained,1,pad_right,0.905141679193854
416,LSTM_onehot_pretrained,2,base,0.9440400885582408
417,LSTM_onehot_pretrained,2,pad_left,0.9170928619214596
418,LSTM_onehot_pretrained,2,stretch_left,0.9006285015516458
419,LSTM_onehot_pretrained,2,stem_left,0.8175565576787146
420,LSTM_onehot_pretrained,2,loop,0.9415027410243152
421,LSTM_onehot_pretrained,2,stem_right,0.7951765969020902
422,LSTM_onehot_pretrained,2,strech_right,0.6003943076996198
423,LSTM_onehot_pretrained,2,pad_right,0.9336401673703412
424,LSTM_onehot_pretrained,3,base,0.8999845342958117
425,LSTM_onehot_pretrained,3,pad_left,0.8782763878990429
426,LSTM_onehot_pretrained,3,stretch_left,0.8516496878804775
427,LSTM_onehot_pretrained,3,stem_left,0.8213613889976314
428,LSTM_onehot_pretrained,3,loop,0.9019041369605008
429,LSTM_onehot_pretrained,3,stem_right,0.78411420347683
430,LSTM_onehot_pretrained,3,strech_right,0.5368774226390847
431,LSTM_onehot_pretrained,3,pad_right,0.8957345577996634
432,LSTM_onehot_pretrained,4,base,0.9562864151406796
433,LSTM_onehot_pretrained,4,pad_left,0.9524761068846052
434,LSTM_onehot_pretrained,4,stretch_left,0.9370476036154208
435,LSTM_onehot_pretrained,4,stem_left,0.8692838248187851
436,LSTM_onehot_pretrained,4,loop,0.9585075671421298
437,LSTM_onehot_pretrained,4,stem_right,0.8473138007371693
438,LSTM_onehot_pretrained,4,strech_right,0.6711222468932666
439,LSTM_onehot_pretrained,4,pad_right,0.950393266878124
440,LSTM_onehot_pretrained,5,base,0.9163964656384096
441,LSTM_onehot_pretrained,5,pad_left,0.9009409614572086
442,LSTM_onehot_pretrained,5,stretch_left,0.8810987925497761
443,LSTM_onehot_pretrained,5,stem_left,0.8279813861745081
444,LSTM_onehot_pretrained,5,loop,0.9213237598450664
445,LSTM_onehot_pretrained,5,stem_right,0.8027947965715404
446,LSTM_onehot_pretrained,5,strech_right,0.5975031320020799
447,LSTM_onehot_pretrained,5,pad_right,0.8965281533187026
448,LSTM_onehot_pretrained,6,base,0.8971858258529376
449,LSTM_onehot_pretrained,6,pad_left,0.8783931969740828
